timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660629263086,61,RegisterDevice,201,Created,Thread Group 1-1,text,true,,500,476,2,2,http://10.10.78.154:4000/accounts/api/v1/accounts,59,0,30
1660629268000,7,RegisterDevice,201,Created,Thread Group 1-2,text,true,,500,476,3,3,http://10.10.78.154:4000/accounts/api/v1/accounts,7,0,1
1660629270201,289,CreateAccount,201,Created,Thread Group 1-1,text,true,,253,657,3,3,http://10.10.78.154:4000/accounts/api/v1/register,289,0,0
1660629272977,10,RegisterDevice,201,Created,Thread Group 1-3,text,true,,500,476,4,4,http://10.10.78.154:4000/accounts/api/v1/accounts,10,0,1
1660629275011,382,CreateAccount,201,Created,Thread Group 1-2,text,true,,253,657,4,4,http://10.10.78.154:4000/accounts/api/v1/register,382,0,0
1660629277493,5,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-1,text,true,,239,516,5,5,http://10.10.78.154:4000/accounts/api/v1/otp,5,0,0
1660629277984,8,RegisterDevice,201,Created,Thread Group 1-4,text,true,,500,476,5,5,http://10.10.78.154:4000/accounts/api/v1/accounts,8,0,1
1660629279990,218,CreateAccount,201,Created,Thread Group 1-3,text,true,,253,657,5,5,http://10.10.78.154:4000/accounts/api/v1/register,217,0,0
1660629282393,6,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-2,text,true,,239,516,6,6,http://10.10.78.154:4000/accounts/api/v1/otp,6,0,0
1660629282979,8,RegisterDevice,201,Created,Thread Group 1-5,text,true,,500,476,6,6,http://10.10.78.154:4000/accounts/api/v1/accounts,8,0,1
1660629284501,13,VerifyOTP,201,Created,Thread Group 1-1,text,true,,253,601,6,6,http://10.10.78.154:4000/accounts/api/v1/verify,13,0,0
1660629284994,259,CreateAccount,201,Created,Thread Group 1-4,text,true,,253,657,6,6,http://10.10.78.154:4000/accounts/api/v1/register,259,0,0
1660629287209,6,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-3,text,true,,239,516,7,7,http://10.10.78.154:4000/accounts/api/v1/otp,6,0,0
1660629287976,28,RegisterDevice,201,Created,Thread Group 1-6,text,true,,500,476,7,7,http://10.10.78.154:4000/accounts/api/v1/accounts,28,0,2
1660629289402,9,VerifyOTP,201,Created,Thread Group 1-2,text,true,,253,601,7,7,http://10.10.78.154:4000/accounts/api/v1/verify,9,0,0
1660629289990,205,CreateAccount,201,Created,Thread Group 1-5,text,true,,253,657,7,7,http://10.10.78.154:4000/accounts/api/v1/register,205,0,0
1660629292254,6,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-4,text,true,,239,516,8,8,http://10.10.78.154:4000/accounts/api/v1/otp,6,0,0
1660629291517,893,Initv1,201,Created,Thread Group 1-1,text,true,,695,0,8,8,http://10.10.78.154:4000/accounts/api/v1/accounts/init,892,0,0
1660629292976,25,RegisterDevice,201,Created,Thread Group 1-7,text,true,,500,476,8,8,http://10.10.78.154:4000/accounts/api/v1/accounts,25,0,1
1660629294219,11,VerifyOTP,201,Created,Thread Group 1-3,text,true,,253,601,8,8,http://10.10.78.154:4000/accounts/api/v1/verify,11,0,0
1660629295007,263,CreateAccount,201,Created,Thread Group 1-6,text,true,,253,657,8,8,http://10.10.78.154:4000/accounts/api/v1/register,263,0,0
1660629296413,751,Initv1,201,Created,Thread Group 1-2,text,true,,695,0,9,9,http://10.10.78.154:4000/accounts/api/v1/accounts/init,751,0,0
1660629297197,7,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-5,text,true,,239,516,9,9,http://10.10.78.154:4000/accounts/api/v1/otp,7,0,0
1660629297976,6,RegisterDevice,201,Created,Thread Group 1-8,text,true,,500,476,9,9,http://10.10.78.154:4000/accounts/api/v1/accounts,6,0,1
1660629299264,12,VerifyOTP,201,Created,Thread Group 1-4,text,true,,253,601,9,9,http://10.10.78.154:4000/accounts/api/v1/verify,12,0,0
1660629299413,50,GetRequestedOTP,200,OK,Thread Group 1-1,text,true,,239,610,9,9,http://10.10.78.154:4000/accounts/api/v1/otp,50,0,0
1660629300004,252,CreateAccount,201,Created,Thread Group 1-7,text,true,,253,657,9,9,http://10.10.78.154:4000/accounts/api/v1/register,252,0,0
1660629301230,651,Initv1,201,Created,Thread Group 1-3,text,true,,695,0,10,10,http://10.10.78.154:4000/accounts/api/v1/accounts/init,651,0,0
