timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664340778067,411,RegisterDevice,201,Created,Http URL/API Test 1-1,text,true,,524,483,1,1,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,411,0,394
1664340780565,951,login,200,OK,Http URL/API Test 1-1,text,true,,754,656,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,951,0,0
1664340782902,42,RegisterDevice,201,Created,Http URL/API Test 1-2,text,true,,524,483,2,2,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,42,0,30
1664340783521,294,createStory,200,OK,Http URL/API Test 1-1,text,true,,2942,3787,2,2,https://social.bigsuperapp.com/social/api/v1/stories,294,0,24
1664340784956,1022,login,200,OK,Http URL/API Test 1-2,text,true,,754,656,3,3,https://accounts.bigsuperapp.com/accounts/api/v1/login,1021,0,0
1664340785825,592,getStory,200,OK,Http URL/API Test 1-1,text,true,,2895,680,3,3,https://social.bigsuperapp.com/story?id=6f88fd52-3ee9-11ed-88fc-0a58a9feac02&u=17126b2a-1a33-11ed-821e-0a58a9feac02,592,0,0
1664340787893,26,RegisterDevice,201,Created,Http URL/API Test 1-3,text,true,,524,483,3,3,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,26,0,18
1664340787981,263,createStory,200,OK,Http URL/API Test 1-2,text,true,,2942,3787,3,3,https://social.bigsuperapp.com/social/api/v1/stories,263,0,20
1664340788418,523,story,200,OK,Http URL/API Test 1-1,text,true,,2895,680,3,3,https://social.bigsuperapp.com/story?id=6f88fd52-3ee9-11ed-88fc-0a58a9feac02&u=17126b2a-1a33-11ed-821e-0a58a9feac02,523,0,0
1664340789926,990,login,200,OK,Http URL/API Test 1-3,text,true,,754,656,4,4,https://accounts.bigsuperapp.com/accounts/api/v1/login,990,0,0
1664340790254,889,getStory,200,OK,Http URL/API Test 1-2,text,true,,2895,680,4,4,https://social.bigsuperapp.com/story?id=722d78c6-3ee9-11ed-9d35-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,889,0,0
1664340790942,1246,findPlace,200,OK,Http URL/API Test 1-1,text,true,,252,634,4,4,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1246,0,0
1664340792861,25,RegisterDevice,201,Created,Http URL/API Test 1-4,text,true,,524,483,4,4,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,25,0,16
1664340792920,219,createStory,200,OK,Http URL/API Test 1-3,text,true,,2942,3787,4,4,https://social.bigsuperapp.com/social/api/v1/stories,219,0,14
