timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664348861104,469,Register Device,201,Created,Thread Group 1-1,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,466,0,452
1664348861630,420,CreateAccount,201,Created,Thread Group 1-1,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,420,0,0
1664348862051,268,Get Requested OTP1,200,OK,Thread Group 1-1,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,268,0,0
1664348862324,62,VerifyOTP,201,Created,Thread Group 1-1,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,62,0,0
1664348865978,59,Register Device,201,Created,Thread Group 1-2,text,true,,524,525,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,59,0,27
1664348862389,4765,Init V2,201,Created,Thread Group 1-1,text,true,,277,0,2,2,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,4764,0,0
1664348867154,51,Get Requested OTP2,200,OK,Thread Group 1-1,text,true,,263,523,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/otp,51,0,0
1664348866048,1419,CreateAccount,201,Created,Thread Group 1-2,text,true,,277,664,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/register,1419,0,0
1664348867467,244,Get Requested OTP1,200,OK,Thread Group 1-2,text,true,,263,523,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/otp,244,0,0
1664348867715,78,VerifyOTP,201,Created,Thread Group 1-2,text,true,,277,608,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/verify,78,0,0
1664348867709,1035,EmailVerify,422,Unprocessable Entity,Thread Group 1-1,text,false,Test failed: code expected to contain /201/,331,612,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/email/verify,1035,0,0
1664348868748,1458,UserName,200,OK,Thread Group 1-1,text,true,,319,551,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/suggestions/username?name=sonia,1458,0,0
1664348870207,218,ResetOTP,200,OK,Thread Group 1-1,text,true,,263,529,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,218,0,0
1664348867794,2995,Init V2,201,Created,Thread Group 1-2,text,true,,277,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,2995,0,0
1664348870989,27,Register Device,201,Created,Thread Group 1-3,text,true,,524,525,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,27,0,18
1664348870790,246,Get Requested OTP2,200,OK,Thread Group 1-2,text,true,,263,523,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/otp,246,0,0
1664348871019,482,CreateAccount,201,Created,Thread Group 1-3,text,true,,277,664,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/register,482,0,0
1664348871501,237,Get Requested OTP1,200,OK,Thread Group 1-3,text,true,,263,523,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/otp,237,0,0
1664348871741,19,VerifyOTP,201,Created,Thread Group 1-3,text,true,,277,608,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/verify,19,0,0
1664348871538,433,EmailVerify,422,Unprocessable Entity,Thread Group 1-2,text,false,Test failed: code expected to contain /201/,331,612,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/email/verify,433,0,0
1664348871973,1449,UserName,200,OK,Thread Group 1-2,text,true,,319,551,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/suggestions/username?name=sonia,1449,0,0
1664348873423,299,ResetOTP,200,OK,Thread Group 1-2,text,true,,263,529,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,299,0,0
