timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664342195022,327,RegisterDevice,201,Created,Http URL/API Test 1-1,text,true,,524,483,1,1,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,327,0,313
1664342197398,849,login,200,OK,Http URL/API Test 1-1,text,true,,754,656,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,848,0,0
1664342199891,39,RegisterDevice,201,Created,Http URL/API Test 1-2,text,true,,524,483,2,2,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,39,0,29
1664342200251,271,createStory,200,OK,Http URL/API Test 1-1,text,true,,2942,3787,2,2,https://social.bigsuperapp.com/social/api/v1/stories,271,0,22
1664342201942,607,login,200,OK,Http URL/API Test 1-2,text,true,,754,656,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,607,0,0
1664342202535,505,getStory,200,OK,Http URL/API Test 1-1,text,true,,2895,680,3,3,https://social.bigsuperapp.com/story?id=bbf54210-3eec-11ed-87e1-0a58a9feac02&u=17126b2a-1a33-11ed-821e-0a58a9feac02,505,0,0
1664342204552,277,createStory,200,OK,Http URL/API Test 1-2,text,true,,2942,3787,3,3,https://social.bigsuperapp.com/social/api/v1/stories,277,0,18
1664342204846,27,RegisterDevice,201,Created,Http URL/API Test 1-3,text,true,,524,483,3,3,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,27,0,22
1664342205041,561,story,200,OK,Http URL/API Test 1-1,text,true,,2895,680,3,3,https://social.bigsuperapp.com/story?id=bbf54210-3eec-11ed-87e1-0a58a9feac02&u=17126b2a-1a33-11ed-821e-0a58a9feac02,561,0,0
1664342206834,1070,getStory,200,OK,Http URL/API Test 1-2,text,true,,2895,680,4,4,https://social.bigsuperapp.com/story?id=be8789ca-3eec-11ed-996d-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,1070,0,0
1664342206877,1168,login,200,OK,Http URL/API Test 1-3,text,true,,754,656,4,4,https://accounts.bigsuperapp.com/accounts/api/v1/login,1168,0,0
1664342207603,1266,findPlace,200,OK,Http URL/API Test 1-1,text,true,,252,634,4,4,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1266,0,0
1664342209844,26,RegisterDevice,201,Created,Http URL/API Test 1-4,text,true,,524,483,4,4,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,26,0,17
1664342210049,312,createStory,200,OK,Http URL/API Test 1-3,text,true,,2942,3787,4,4,https://social.bigsuperapp.com/social/api/v1/stories,312,0,15
1664342209906,612,story,200,OK,Http URL/API Test 1-2,text,true,,2895,680,4,4,https://social.bigsuperapp.com/story?id=be8789ca-3eec-11ed-996d-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,612,0,0
1664342210871,602,userStories,200,OK,Http URL/API Test 1-1,text,true,,5776,660,4,4,https://social.bigsuperapp.com/social/api/v1/users/17126b2a-1a33-11ed-821e-0a58a9feac02/stories,602,0,0
1664342211875,1460,login,200,OK,Http URL/API Test 1-4,text,true,,754,656,5,5,https://accounts.bigsuperapp.com/accounts/api/v1/login,1459,0,0
1664342212364,1470,getStory,200,OK,Http URL/API Test 1-3,text,true,,2895,680,5,5,https://social.bigsuperapp.com/story?id=c1d29ae8-3eec-11ed-8c2e-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,1470,0,0
1664342212520,1635,findPlace,200,OK,Http URL/API Test 1-2,text,true,,252,634,5,5,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1635,0,0
1664342213474,748,storyDetails,200,OK,Http URL/API Test 1-1,text,true,,2895,680,5,5,https://social.bigsuperapp.com/story?id=bbf54210-3eec-11ed-87e1-0a58a9feac02&u=17126b2a-1a33-11ed-821e-0a58a9feac02,748,0,0
1664342214831,22,RegisterDevice,201,Created,Http URL/API Test 1-5,text,true,,524,483,5,5,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,22,0,16
1664342215337,226,createStory,200,OK,Http URL/API Test 1-4,text,true,,2942,3787,5,5,https://social.bigsuperapp.com/social/api/v1/stories,226,0,13
1664342215835,553,story,200,OK,Http URL/API Test 1-3,text,true,,2895,680,5,5,https://social.bigsuperapp.com/story?id=c1d29ae8-3eec-11ed-8c2e-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,553,0,0
1664342216223,946,AllStoriesByAUser,200,OK,Http URL/API Test 1-1,text,true,,5776,660,5,5,https://social.bigsuperapp.com/social/api/v1/users/17126b2a-1a33-11ed-821e-0a58a9feac02/stories,946,0,0
1664342216156,1692,userStories,200,OK,Http URL/API Test 1-2,text,true,,11299,660,6,6,https://social.bigsuperapp.com/social/api/v1/users/2395a362-1a33-11ed-bd97-0a58a9feac02/stories,1692,0,0
1664342216862,1368,login,200,OK,Http URL/API Test 1-5,text,true,,754,656,6,6,https://accounts.bigsuperapp.com/accounts/api/v1/login,1368,0,0
1664342217569,996,getStory,200,OK,Http URL/API Test 1-4,text,true,,2895,680,6,6,https://social.bigsuperapp.com/story?id=c4ed2356-3eec-11ed-8ebc-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,996,0,0
1664342219170,229,Get Feed on Story V1,200,OK,Http URL/API Test 1-1,text,true,,275,668,6,6,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=bbf54210-3eec-11ed-87e1-0a58a9feac02,229,0,0
1664342218389,1203,findPlace,200,OK,Http URL/API Test 1-3,text,true,,252,634,6,6,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1203,0,0
1664342219819,25,RegisterDevice,201,Created,Http URL/API Test 1-6,text,true,,524,483,6,6,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,25,0,17
1664342219849,554,storyDetails,200,OK,Http URL/API Test 1-2,text,true,,2895,680,6,6,https://social.bigsuperapp.com/story?id=be8789ca-3eec-11ed-996d-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,554,0,0
1664342220233,344,createStory,200,OK,Http URL/API Test 1-5,text,true,,2942,3787,6,6,https://social.bigsuperapp.com/social/api/v1/stories,344,0,17
1664342221399,412,Get Feed on Story V2,200,OK,Http URL/API Test 1-1,text,true,,275,668,6,6,https://social.bigsuperapp.com/social/api/v2/feed/stories?story_id=bbf54210-3eec-11ed-87e1-0a58a9feac02,412,0,0
1664342220566,1374,story,200,OK,Http URL/API Test 1-4,text,true,,2895,680,6,6,https://social.bigsuperapp.com/story?id=c4ed2356-3eec-11ed-8ebc-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,1374,0,0
1664342221593,500,userStories,200,OK,Http URL/API Test 1-3,text,true,,3015,660,6,6,https://social.bigsuperapp.com/social/api/v1/users/1c97e228-1a33-11ed-9550-0a58a9feac02/stories,500,0,0
1664342221846,995,login,200,OK,Http URL/API Test 1-6,text,true,,754,656,7,7,https://accounts.bigsuperapp.com/accounts/api/v1/login,995,0,0
1664342222580,1219,getStory,200,OK,Http URL/API Test 1-5,text,true,,2895,680,7,7,https://social.bigsuperapp.com/story?id=c7eab604-3eec-11ed-aeaa-0a58a9feac02&u=217b98fc-1a33-11ed-a94a-0a58a9feac02,1219,0,0
1664342222405,1575,AllStoriesByAUser,200,OK,Http URL/API Test 1-2,text,true,,11299,660,7,7,https://social.bigsuperapp.com/social/api/v1/users/2395a362-1a33-11ed-bd97-0a58a9feac02/stories,1575,0,0
1664342224816,26,RegisterDevice,201,Created,Http URL/API Test 1-7,text,true,,524,483,7,7,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,26,0,19
1664342224094,1109,storyDetails,200,OK,Http URL/API Test 1-3,text,true,,2895,680,7,7,https://social.bigsuperapp.com/story?id=c1d29ae8-3eec-11ed-8c2e-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,1109,0,0
1664342223941,1601,findPlace,200,OK,Http URL/API Test 1-4,text,true,,252,634,7,7,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1601,0,0
1664342223812,2045,List All the Recent Stories for the user V1,200,OK,Http URL/API Test 1-1,text,true,,275,624,7,7,https://social.bigsuperapp.com/social/api/v1/stories/recent,2045,0,0
