timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662529085385,451,RegisterDevice,201,Created,Thread Group 1-1,text,true,,524,483,1,1,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,451,0,434
1662529087897,544,login,200,OK,Thread Group 1-1,text,true,,754,656,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/login,544,0,0
1662529090451,190,createStory,200,OK,Thread Group 1-1,text,true,,3203,3787,1,1,https://social.bigsuperapp.com/social/api/v1/stories,190,0,37
1662529092655,492,getStory,200,OK,Thread Group 1-1,text,true,,3640,680,1,1,https://social.bigsuperapp.com/story?id=424170c0-2e6f-11ed-bba7-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,492,0,0
1662529095148,391,story,200,OK,Thread Group 1-1,text,true,,3640,680,1,1,https://social.bigsuperapp.com/story?id=424170c0-2e6f-11ed-bba7-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,390,0,0
1662529097540,1129,findPlace,200,OK,Thread Group 1-1,text,true,,252,634,1,1,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1129,0,0
1662529100670,497,userStories,200,OK,Thread Group 1-1,text,true,,7236,699,1,1,https://social.bigsuperapp.com/social/api/v1/users/2395a362-1a33-11ed-bd97-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,497,0,0
1662529103168,5630,storyDetails,200,OK,Thread Group 1-1,text,true,,3640,680,1,1,https://social.bigsuperapp.com/story?id=424170c0-2e6f-11ed-bba7-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,5630,0,0
1662529110799,138,AllStoriesByAUser,200,OK,Thread Group 1-1,text,true,,252,699,1,1,https://social.bigsuperapp.com/social/api/v1/users/04c3fb5c-1f9f-11ed-9c5c-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,138,0,0
1662529112939,139,StoryViews,200,OK,Thread Group 1-1,text,true,,271,749,1,1,https://social.bigsuperapp.com/social/api/v1/users/stories/424170c0-2e6f-11ed-bba7-0a58a9feac02/views,139,0,0
1662529115079,182,Get Feed on Story V1,200,OK,Thread Group 1-1,text,true,,275,668,1,1,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=424170c0-2e6f-11ed-bba7-0a58a9feac02,182,0,0
1662529117262,172,Get Feed on Story V2,200,OK,Thread Group 1-1,text,true,,275,668,1,1,https://social.bigsuperapp.com/social/api/v2/feed/stories?story_id=424170c0-2e6f-11ed-bba7-0a58a9feac02,172,0,0
1662529119435,303,List All the Recent Stories for the user V1,200,OK,Thread Group 1-1,text,true,,275,624,1,1,https://social.bigsuperapp.com/social/api/v1/stories/recent,303,0,0
1662529121739,201,List all the Recent Stories for User V2,200,OK,Thread Group 1-1,text,true,,275,624,1,1,https://social.bigsuperapp.com/social/api/v3/stories/recent,200,0,0
1662529123940,195,List All the Explore Feed for the user v1,200,OK,Thread Group 1-1,text,true,,262,660,1,1,https://social.bigsuperapp.com/social/api/v1/users/2395a362-1a33-11ed-bd97-0a58a9feac02/gallery,195,0,0
1662529126136,176,List all the Explore feed for the user V2,200,OK,Thread Group 1-1,text,true,,275,660,1,1,https://social.bigsuperapp.com/social/api/v2/users/2395a362-1a33-11ed-bd97-0a58a9feac02/gallery,176,0,0
1662529128313,353,List all the flicks feed for a user V1,200,OK,Thread Group 1-1,text,true,,6209,621,1,1,https://social.bigsuperapp.com/social/api/v1/feed/flicks,353,0,0
1662529130667,253,List all the Flicks feed for a user V2,200,OK,Thread Group 1-1,text,true,,287,621,1,1,https://social.bigsuperapp.com/social/api/v2/feed/flicks,253,0,0
1662529132921,164,delete story,200,OK,Thread Group 1-1,text,true,,3691,740,1,1,https://social.bigsuperapp.com/social/api/v1/stories/424170c0-2e6f-11ed-bba7-0a58a9feac02,164,0,0
