timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661491157090,801,RegisterDevice,201,Created,Http URL/API Test 1-1,text,true,,524,483,1,1,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,801,0,772
1661491158124,581,login,200,OK,Http URL/API Test 1-1,text,true,,754,656,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/login,581,0,0
1661491158810,214,createStory,200,OK,Http URL/API Test 1-1,text,true,,3203,3787,1,1,https://social.bigsuperapp.com/social/api/v1/stories,214,0,60
1661491161040,548,getStory,200,OK,Http URL/API Test 1-1,text,true,,3640,680,1,1,https://social.bigsuperapp.com/story?id=a2cdb1da-24fe-11ed-8500-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,548,0,0
1661491161863,29,RegisterDevice,201,Created,Http URL/API Test 1-2,text,true,,524,483,2,2,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,29,0,22
1661491161995,575,login,200,OK,Http URL/API Test 1-2,text,true,,754,656,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,575,0,0
1661491162675,146,createStory,200,OK,Http URL/API Test 1-2,text,true,,3203,3787,2,2,https://social.bigsuperapp.com/social/api/v1/stories,146,0,15
1661491161689,1397,story,200,OK,Http URL/API Test 1-1,text,true,,3640,680,2,2,https://social.bigsuperapp.com/story?id=a2cdb1da-24fe-11ed-8500-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,1397,0,0
1661491163187,2017,findPlace,200,OK,Http URL/API Test 1-1,text,true,,252,634,2,2,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,2017,0,0
1661491165305,268,userStories,200,OK,Http URL/API Test 1-1,text,true,,252,699,2,2,https://social.bigsuperapp.com/social/api/v1/users/56c75e36-1a0d-11ed-890f-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,268,0,0
1661491164827,967,getStory,200,OK,Http URL/API Test 1-2,text,true,,3640,680,2,2,https://social.bigsuperapp.com/story?id=a5114c72-24fe-11ed-ab29-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,967,0,0
1661491166804,34,RegisterDevice,201,Created,Http URL/API Test 1-3,text,true,,524,483,3,3,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,34,0,28
1661491166941,446,login,200,OK,Http URL/API Test 1-3,text,true,,754,656,3,3,https://accounts.bigsuperapp.com/accounts/api/v1/login,446,0,0
1661491167496,182,createStory,200,OK,Http URL/API Test 1-3,text,true,,3203,3787,3,3,https://social.bigsuperapp.com/social/api/v1/stories,182,0,22
1661491165674,2729,storyDetails,200,OK,Http URL/API Test 1-1,text,true,,3640,680,3,3,https://social.bigsuperapp.com/story?id=a2cdb1da-24fe-11ed-8500-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,2729,0,0
1661491165895,3706,story,200,OK,Http URL/API Test 1-2,text,true,,3640,680,3,3,https://social.bigsuperapp.com/story?id=a5114c72-24fe-11ed-ab29-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,3705,0,0
1661491168504,2519,AllStoriesByAUser,200,OK,Http URL/API Test 1-1,text,true,,252,699,3,3,https://social.bigsuperapp.com/social/api/v1/users/04c3fb5c-1f9f-11ed-9c5c-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,2519,0,0
1661491169701,1846,findPlace,200,OK,Http URL/API Test 1-2,text,true,,252,634,3,3,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1846,0,0
1661491171648,126,userStories,200,OK,Http URL/API Test 1-2,text,true,,252,699,4,4,https://social.bigsuperapp.com/social/api/v1/users/56c75e36-1a0d-11ed-890f-0a58a9feac02/stories?u=1c97e228-1a33-11ed-9550-0a58a9feac02,126,0,0
1661491171796,25,RegisterDevice,201,Created,Http URL/API Test 1-4,text,true,,524,483,4,4,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,25,0,16
1661491169682,2861,getStory,200,OK,Http URL/API Test 1-3,text,true,,3640,680,4,4,https://social.bigsuperapp.com/story?id=a7f5ee5c-24fe-11ed-8b32-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,2861,0,0
1661491171925,690,login,200,OK,Http URL/API Test 1-4,text,true,,754,656,4,4,https://accounts.bigsuperapp.com/accounts/api/v1/login,690,0,0
1661491172718,236,createStory,200,OK,Http URL/API Test 1-4,text,true,,3203,3787,4,4,https://social.bigsuperapp.com/social/api/v1/stories,236,0,17
1661491171126,2509,Get Feed on Story V1,200,OK,Http URL/API Test 1-1,text,true,,275,668,4,4,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=a2cdb1da-24fe-11ed-8500-0a58a9feac02,2509,0,0
1661491173736,183,Get Feed on Story V2,200,OK,Http URL/API Test 1-1,text,true,,275,668,4,4,https://social.bigsuperapp.com/social/api/v2/feed/stories?story_id=a2cdb1da-24fe-11ed-8500-0a58a9feac02,183,0,0
1661491172644,3317,story,200,OK,Http URL/API Test 1-3,text,true,,3640,680,4,4,https://social.bigsuperapp.com/story?id=a7f5ee5c-24fe-11ed-8b32-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,3317,0,0
1661491176763,23,RegisterDevice,201,Created,Http URL/API Test 1-5,text,true,,524,483,5,5,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,23,0,14
