timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660063623539,71,RegisterDevice,201,Created,Thread Group 1-1,text,true,,500,476,1,1,http://10.10.78.197:4000/accounts/api/v1/accounts,68,0,50
1660063623762,1963,CreateAccount,201,Created,Thread Group 1-1,text,true,,253,657,1,1,http://10.10.78.197:4000/accounts/api/v1/register,1962,0,0
1660063625725,888,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-1,text,true,,239,516,1,1,http://10.10.78.197:4000/accounts/api/v1/otp,888,0,0
1660063626618,1784,VerifyOTP,201,Created,Thread Group 1-1,text,true,,253,601,2,2,http://10.10.78.197:4000/accounts/api/v1/verify,1784,0,0
1660063628380,24,RegisterDevice,201,Created,Thread Group 1-2,text,true,,500,476,2,2,http://10.10.78.197:4000/accounts/api/v1/accounts,24,0,1
1660063628409,3114,Initv1,201,Created,Thread Group 1-1,text,true,,695,0,2,2,http://10.10.78.197:4000/accounts/api/v1/accounts/init,3114,0,0
1660063631538,63,GetRequestedOTP,200,OK,Thread Group 1-1,text,true,,239,610,2,2,http://10.10.78.197:4000/accounts/api/v1/otp,63,0,0
1660063633403,9,RegisterDevice,201,Created,Thread Group 1-3,text,true,,500,476,3,3,http://10.10.78.197:4000/accounts/api/v1/accounts,9,0,1
1660063628411,6492,CreateAccount,201,Created,Thread Group 1-2,text,true,,253,657,3,3,http://10.10.78.197:4000/accounts/api/v1/register,6492,0,0
1660063634902,815,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-2,text,true,,239,516,3,3,http://10.10.78.197:4000/accounts/api/v1/otp,815,0,0
1660063638364,40,RegisterDevice,201,Created,Thread Group 1-4,text,true,,500,476,4,4,http://10.10.78.197:4000/accounts/api/v1/accounts,40,0,2
1660063631603,9913,ResetOTP,200,OK,Thread Group 1-1,text,true,,239,616,4,4,http://10.10.78.197:4000/accounts/api/v1/reset_otp,9913,0,0
1660063643386,20,RegisterDevice,201,Created,Thread Group 1-5,text,true,,500,476,5,5,http://10.10.78.197:4000/accounts/api/v1/accounts,20,0,2
1660063633414,10499,CreateAccount,201,Created,Thread Group 1-3,text,true,,253,657,5,5,http://10.10.78.197:4000/accounts/api/v1/register,10499,0,0
1660063643914,399,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-3,text,true,,239,516,5,5,http://10.10.78.197:4000/accounts/api/v1/otp,399,0,0
1660063635720,10193,VerifyOTP,201,Created,Thread Group 1-2,text,true,,253,601,5,5,http://10.10.78.197:4000/accounts/api/v1/verify,10193,0,0
1660063646519,1587,UserName,200,OK,Thread Group 1-1,text,true,,292,638,5,5,http://10.10.78.197:4000/accounts/api/v1/suggestions/username?name=sonia,1587,0,2
1660063645914,2385,Initv1,201,Created,Thread Group 1-2,text,true,,695,0,4,4,http://10.10.78.197:4000/accounts/api/v1/accounts/init,2385,0,0
1660063648355,49,RegisterDevice,201,Created,Thread Group 1-6,text,true,,500,476,5,5,http://10.10.78.197:4000/accounts/api/v1/accounts,48,0,1
1660063648302,311,GetRequestedOTP,200,OK,Thread Group 1-2,text,true,,239,610,5,5,http://10.10.78.197:4000/accounts/api/v1/otp,311,0,0
1660063638407,14506,CreateAccount,201,Created,Thread Group 1-4,text,true,,253,657,5,5,http://10.10.78.197:4000/accounts/api/v1/register,14506,0,0
1660063652916,391,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-4,text,true,,239,516,5,5,http://10.10.78.197:4000/accounts/api/v1/otp,391,0,0
1660063653358,44,RegisterDevice,201,Created,Thread Group 1-7,text,true,,500,476,6,6,http://10.10.78.197:4000/accounts/api/v1/accounts,44,0,2
1660063658376,29,RegisterDevice,201,Created,Thread Group 1-8,text,true,,500,476,7,7,http://10.10.78.197:4000/accounts/api/v1/accounts,29,0,1
1660063643408,17499,CreateAccount,201,Created,Thread Group 1-5,text,true,,253,657,7,7,http://10.10.78.197:4000/accounts/api/v1/register,17499,0,0
1660063660908,613,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-5,text,true,,239,516,7,7,http://10.10.78.197:4000/accounts/api/v1/otp,613,0,0
1660063644315,17823,VerifyOTP,201,Created,Thread Group 1-3,text,true,,253,601,7,7,http://10.10.78.197:4000/accounts/api/v1/verify,17823,0,0
1660063663370,31,RegisterDevice,201,Created,Thread Group 1-9,text,true,,500,476,8,8,http://10.10.78.197:4000/accounts/api/v1/accounts,31,0,2
1660063662139,2261,Initv1,201,Created,Thread Group 1-3,text,true,,695,0,8,8,http://10.10.78.197:4000/accounts/api/v1/accounts/init,2261,0,0
1660063664402,6,GetRequestedOTP,200,OK,Thread Group 1-3,text,true,,239,610,8,8,http://10.10.78.197:4000/accounts/api/v1/otp,6,0,0
1660063648616,19196,ResetOTP,200,OK,Thread Group 1-2,text,true,,239,616,8,8,http://10.10.78.197:4000/accounts/api/v1/reset_otp,19196,0,0
1660063648406,19609,CreateAccount,201,Created,Thread Group 1-6,text,true,,253,657,8,8,http://10.10.78.197:4000/accounts/api/v1/register,19608,0,0
1660063668367,36,RegisterDevice,201,Created,Thread Group 1-10,text,true,,500,476,9,9,http://10.10.78.197:4000/accounts/api/v1/accounts,36,0,2
