timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664342925874,384,RegisterDevice,201,Created,Http URL/API Test 1-1,text,true,,524,483,1,1,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,384,0,365
1664342928309,1008,login,200,OK,Http URL/API Test 1-1,text,true,,754,656,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,1008,0,0
1664342930748,27,RegisterDevice,201,Created,Http URL/API Test 1-2,text,true,,524,483,2,2,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,27,0,19
1664342931323,234,createStory,200,OK,Http URL/API Test 1-1,text,true,,2942,3787,2,2,https://social.bigsuperapp.com/social/api/v1/stories,234,0,21
1664342932780,727,login,200,OK,Http URL/API Test 1-2,text,true,,754,656,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,727,0,0
1664342933575,496,getStory,200,OK,Http URL/API Test 1-1,text,true,,2895,680,3,3,https://social.bigsuperapp.com/story?id=6fb1a3d8-3eee-11ed-9529-0a58a9feac02&u=17126b2a-1a33-11ed-821e-0a58a9feac02,495,0,0
1664342935511,222,createStory,200,OK,Http URL/API Test 1-2,text,true,,2942,3787,3,3,https://social.bigsuperapp.com/social/api/v1/stories,222,0,16
1664342935726,26,RegisterDevice,201,Created,Http URL/API Test 1-3,text,true,,524,483,3,3,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,26,0,20
1664342936071,639,story,200,OK,Http URL/API Test 1-1,text,true,,2895,680,3,3,https://social.bigsuperapp.com/story?id=6fb1a3d8-3eee-11ed-9529-0a58a9feac02&u=17126b2a-1a33-11ed-821e-0a58a9feac02,639,0,0
1664342937737,890,getStory,200,OK,Http URL/API Test 1-2,text,true,,2895,680,3,3,https://social.bigsuperapp.com/story?id=722db70a-3eee-11ed-89ed-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,890,0,0
1664342937754,999,login,200,OK,Http URL/API Test 1-3,text,true,,754,656,4,4,https://accounts.bigsuperapp.com/accounts/api/v1/login,999,0,0
1664342938710,1013,findPlace,200,OK,Http URL/API Test 1-1,text,true,,252,634,4,4,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1013,0,0
1664342940696,43,RegisterDevice,201,Created,Http URL/API Test 1-4,text,true,,524,483,4,4,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,43,0,17
1664342940757,359,createStory,200,OK,Http URL/API Test 1-3,text,true,,2942,3787,4,4,https://social.bigsuperapp.com/social/api/v1/stories,359,0,12
1664342940628,705,story,200,OK,Http URL/API Test 1-2,text,true,,2895,680,4,4,https://social.bigsuperapp.com/story?id=722db70a-3eee-11ed-89ed-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,705,0,0
1664342941724,547,userStories,200,OK,Http URL/API Test 1-1,text,true,,5776,660,4,4,https://social.bigsuperapp.com/social/api/v1/users/17126b2a-1a33-11ed-821e-0a58a9feac02/stories,547,0,0
1664342942743,868,login,200,OK,Http URL/API Test 1-4,text,true,,754,656,4,4,https://accounts.bigsuperapp.com/accounts/api/v1/login,868,0,0
1664342943119,1068,getStory,200,OK,Http URL/API Test 1-3,text,true,,2895,680,5,5,https://social.bigsuperapp.com/story?id=756350f6-3eee-11ed-9d39-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,1068,0,0
1664342943334,1544,findPlace,200,OK,Http URL/API Test 1-2,text,true,,252,634,5,5,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1543,0,0
1664342944271,1093,storyDetails,200,OK,Http URL/API Test 1-1,text,true,,2895,680,5,5,https://social.bigsuperapp.com/story?id=6fb1a3d8-3eee-11ed-9529-0a58a9feac02&u=17126b2a-1a33-11ed-821e-0a58a9feac02,1093,0,0
1664342945679,33,RegisterDevice,201,Created,Http URL/API Test 1-5,text,true,,524,483,5,5,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,33,0,17
1664342945613,294,createStory,200,OK,Http URL/API Test 1-4,text,true,,2942,3787,5,5,https://social.bigsuperapp.com/social/api/v1/stories,294,0,15
1664342946186,486,story,200,OK,Http URL/API Test 1-3,text,true,,2895,680,5,5,https://social.bigsuperapp.com/story?id=756350f6-3eee-11ed-9d39-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,486,0,0
1664342946877,888,userStories,200,OK,Http URL/API Test 1-2,text,true,,11299,660,5,5,https://social.bigsuperapp.com/social/api/v1/users/2395a362-1a33-11ed-bd97-0a58a9feac02/stories,888,0,0
1664342947364,1179,AllStoriesByAUser,200,OK,Http URL/API Test 1-1,text,true,,5776,660,5,5,https://social.bigsuperapp.com/social/api/v1/users/17126b2a-1a33-11ed-821e-0a58a9feac02/stories,1178,0,0
1664342947713,1908,login,200,OK,Http URL/API Test 1-5,text,true,,754,656,6,6,https://accounts.bigsuperapp.com/accounts/api/v1/login,1908,0,0
1664342947910,1855,getStory,200,OK,Http URL/API Test 1-4,text,true,,2895,680,6,6,https://social.bigsuperapp.com/story?id=783f49f6-3eee-11ed-a819-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,1855,0,0
1664342950676,43,RegisterDevice,201,Created,Http URL/API Test 1-6,text,true,,524,483,6,6,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,43,0,17
1664342949766,1109,storyDetails,200,OK,Http URL/API Test 1-2,text,true,,2895,680,6,6,https://social.bigsuperapp.com/story?id=722db70a-3eee-11ed-89ed-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,1109,0,0
1664342948673,2437,findPlace,200,OK,Http URL/API Test 1-3,text,true,,252,634,6,6,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,2437,0,0
1664342950543,624,Get Feed on Story V1,200,OK,Http URL/API Test 1-1,text,true,,275,668,6,6,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=6fb1a3d8-3eee-11ed-9529-0a58a9feac02,624,0,0
1664342951624,219,createStory,200,OK,Http URL/API Test 1-5,text,true,,2942,3787,6,6,https://social.bigsuperapp.com/social/api/v1/stories,219,0,15
1664342951765,552,story,200,OK,Http URL/API Test 1-4,text,true,,2895,680,6,6,https://social.bigsuperapp.com/story?id=783f49f6-3eee-11ed-a819-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,552,0,0
1664342953168,460,Get Feed on Story V2,200,OK,Http URL/API Test 1-1,text,true,,275,668,6,6,https://social.bigsuperapp.com/social/api/v2/feed/stories?story_id=6fb1a3d8-3eee-11ed-9529-0a58a9feac02,459,0,0
1664342953111,727,userStories,200,OK,Http URL/API Test 1-3,text,true,,3015,660,7,7,https://social.bigsuperapp.com/social/api/v1/users/1c97e228-1a33-11ed-9550-0a58a9feac02/stories,727,0,0
1664342952722,1221,login,200,OK,Http URL/API Test 1-6,text,true,,754,656,7,7,https://accounts.bigsuperapp.com/accounts/api/v1/login,1221,0,0
1664342952876,1829,AllStoriesByAUser,200,OK,Http URL/API Test 1-2,text,true,,11299,660,7,7,https://social.bigsuperapp.com/social/api/v1/users/2395a362-1a33-11ed-bd97-0a58a9feac02/stories,1829,0,0
1664342954318,1328,findPlace,200,OK,Http URL/API Test 1-4,text,true,,252,634,7,7,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1328,0,0
1664342955678,27,RegisterDevice,201,Created,Http URL/API Test 1-7,text,true,,524,483,7,7,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,27,0,15
1664342953846,2161,getStory,200,OK,Http URL/API Test 1-5,text,true,,2895,680,7,7,https://social.bigsuperapp.com/story?id=7bc413d6-3eee-11ed-88df-0a58a9feac02&u=217b98fc-1a33-11ed-a94a-0a58a9feac02,2161,0,0
1664342955945,222,createStory,200,OK,Http URL/API Test 1-6,text,true,,2942,3787,7,7,https://social.bigsuperapp.com/social/api/v1/stories,222,0,14
1664342955839,531,storyDetails,200,OK,Http URL/API Test 1-3,text,true,,2895,680,7,7,https://social.bigsuperapp.com/story?id=756350f6-3eee-11ed-9d39-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,531,0,0
1664342955628,1795,List All the Recent Stories for the user V1,200,OK,Http URL/API Test 1-1,text,true,,275,624,7,7,https://social.bigsuperapp.com/social/api/v1/stories/recent,1795,0,0
1664342956706,896,Get Feed on Story V1,200,OK,Http URL/API Test 1-2,text,true,,275,668,7,7,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=722db70a-3eee-11ed-89ed-0a58a9feac02,896,0,0
1664342957646,888,userStories,200,OK,Http URL/API Test 1-4,text,true,,3015,660,7,7,https://social.bigsuperapp.com/social/api/v1/users/30351b48-1a33-11ed-822d-0a58a9feac02/stories,888,0,0
1664342958371,1041,AllStoriesByAUser,200,OK,Http URL/API Test 1-3,text,true,,3015,660,8,8,https://social.bigsuperapp.com/social/api/v1/users/1c97e228-1a33-11ed-9550-0a58a9feac02/stories,1041,0,0
1664342957707,1835,login,200,OK,Http URL/API Test 1-7,text,true,,754,656,8,8,https://accounts.bigsuperapp.com/accounts/api/v1/login,1835,0,0
1664342958007,1654,story,200,OK,Http URL/API Test 1-5,text,true,,2895,680,8,8,https://social.bigsuperapp.com/story?id=7bc413d6-3eee-11ed-88df-0a58a9feac02&u=217b98fc-1a33-11ed-a94a-0a58a9feac02,1654,0,0
1664342958170,1737,getStory,200,OK,Http URL/API Test 1-6,text,true,,2895,680,8,8,https://social.bigsuperapp.com/story?id=7e5a4f0c-3eee-11ed-9500-0a58a9feac02&u=1d6c72d6-1a33-11ed-b240-0a58a9feac02,1737,0,0
1664342959423,510,List all the Recent Stories for User V2,200,OK,Http URL/API Test 1-1,text,true,,275,624,8,8,https://social.bigsuperapp.com/social/api/v3/stories/recent,510,0,0
1664342960683,22,RegisterDevice,201,Created,Http URL/API Test 1-8,text,true,,524,483,8,8,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,22,0,15
1664342959603,1683,Get Feed on Story V2,200,OK,Http URL/API Test 1-2,text,true,,275,668,8,8,https://social.bigsuperapp.com/social/api/v2/feed/stories?story_id=722db70a-3eee-11ed-89ed-0a58a9feac02,1683,0,0
1664342961935,533,List All the Explore Feed for the user v1,200,OK,Http URL/API Test 1-1,text,true,,262,660,8,8,https://social.bigsuperapp.com/social/api/v1/users/17126b2a-1a33-11ed-821e-0a58a9feac02/gallery,533,0,0
1664342961662,1094,findPlace,200,OK,Http URL/API Test 1-5,text,true,,252,634,8,8,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1094,0,0
1664342961414,1725,Get Feed on Story V1,200,OK,Http URL/API Test 1-3,text,true,,275,668,8,8,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=756350f6-3eee-11ed-9d39-0a58a9feac02,1725,0,0
1664342962709,719,login,200,OK,Http URL/API Test 1-8,text,true,,754,656,8,8,https://accounts.bigsuperapp.com/accounts/api/v1/login,719,0,0
1664342961909,2408,story,200,OK,Http URL/API Test 1-6,text,true,,2895,680,9,9,https://social.bigsuperapp.com/story?id=7e5a4f0c-3eee-11ed-9500-0a58a9feac02&u=1d6c72d6-1a33-11ed-b240-0a58a9feac02,2408,0,0
1664342960534,3863,storyDetails,200,OK,Http URL/API Test 1-4,text,true,,2895,680,9,9,https://social.bigsuperapp.com/story?id=783f49f6-3eee-11ed-a819-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,3863,0,0
1664342961545,2876,createStory,200,OK,Http URL/API Test 1-7,text,true,,2942,3787,9,9,https://social.bigsuperapp.com/social/api/v1/stories,2876,0,16
1664342964757,326,userStories,200,OK,Http URL/API Test 1-5,text,true,,3015,660,9,9,https://social.bigsuperapp.com/social/api/v1/users/217b98fc-1a33-11ed-a94a-0a58a9feac02/stories,326,0,0
1664342965681,16,RegisterDevice,201,Created,Http URL/API Test 1-9,text,true,,524,483,9,9,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,16,0,10
1664342964469,1262,List all the Explore feed for the user V2,200,OK,Http URL/API Test 1-1,text,true,,275,660,9,9,https://social.bigsuperapp.com/social/api/v2/users/17126b2a-1a33-11ed-821e-0a58a9feac02/gallery,1262,0,0
1664342965431,1224,createStory,200,OK,Http URL/API Test 1-8,text,true,,2942,3787,9,9,https://social.bigsuperapp.com/social/api/v1/stories,1224,0,14
1664342966399,596,AllStoriesByAUser,200,OK,Http URL/API Test 1-4,text,true,,3015,660,9,9,https://social.bigsuperapp.com/social/api/v1/users/30351b48-1a33-11ed-822d-0a58a9feac02/stories,596,0,0
1664342963288,4166,List All the Recent Stories for the user V1,200,OK,Http URL/API Test 1-2,text,true,,275,624,9,9,https://social.bigsuperapp.com/social/api/v1/stories/recent,4166,0,0
1664342966424,1285,getStory,200,OK,Http URL/API Test 1-7,text,true,,2895,680,9,9,https://social.bigsuperapp.com/story?id=81b32b1a-3eee-11ed-b4fb-0a58a9feac02&u=2e8e98be-1a33-11ed-9b21-0a58a9feac02,1285,0,0
1664342966318,1511,findPlace,200,OK,Http URL/API Test 1-6,text,true,,252,634,9,9,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1511,0,0
1664342967731,717,List all the flicks feed for a user V1,200,OK,Http URL/API Test 1-1,text,true,,16198,621,9,9,https://social.bigsuperapp.com/social/api/v1/feed/flicks,717,0,0
1664342967699,1248,login,200,OK,Http URL/API Test 1-9,text,true,,754,656,10,10,https://accounts.bigsuperapp.com/accounts/api/v1/login,1247,0,0
1664342965140,4618,Get Feed on Story V2,200,OK,Http URL/API Test 1-3,text,true,,275,668,10,10,https://social.bigsuperapp.com/social/api/v2/feed/stories?story_id=756350f6-3eee-11ed-9d39-0a58a9feac02,4618,0,0
1664342969830,409,userStories,200,OK,Http URL/API Test 1-6,text,true,,3015,660,10,10,https://social.bigsuperapp.com/social/api/v1/users/1d6c72d6-1a33-11ed-b240-0a58a9feac02/stories,409,0,0
1664342969710,719,story,200,OK,Http URL/API Test 1-7,text,true,,2895,680,10,10,https://social.bigsuperapp.com/story?id=81b32b1a-3eee-11ed-b4fb-0a58a9feac02&u=2e8e98be-1a33-11ed-9b21-0a58a9feac02,719,0,0
1664342968995,1456,Get Feed on Story V1,200,OK,Http URL/API Test 1-4,text,true,,275,668,10,10,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=783f49f6-3eee-11ed-a819-0a58a9feac02,1456,0,0
1664342970448,163,List all the Flicks feed for a user V2,200,OK,Http URL/API Test 1-1,text,true,,287,621,10,10,https://social.bigsuperapp.com/social/api/v2/feed/flicks,162,0,0
1664342970677,17,RegisterDevice,201,Created,Http URL/API Test 1-10,text,true,,524,483,10,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,17,0,11
1664342971759,172,List All the Recent Stories for the user V1,200,OK,Http URL/API Test 1-3,text,true,,275,624,10,10,https://social.bigsuperapp.com/social/api/v1/stories/recent,172,0,0
1664342967084,4961,storyDetails,200,OK,Http URL/API Test 1-5,text,true,,2895,680,10,10,https://social.bigsuperapp.com/story?id=7bc413d6-3eee-11ed-88df-0a58a9feac02&u=217b98fc-1a33-11ed-a94a-0a58a9feac02,4961,0,0
1664342969455,3151,List all the Recent Stories for User V2,200,OK,Http URL/API Test 1-2,text,true,,275,624,10,10,https://social.bigsuperapp.com/social/api/v3/stories/recent,3151,0,0
1664342972611,271,delete story,200,OK,Http URL/API Test 1-1,text,true,,3013,740,10,10,https://social.bigsuperapp.com/social/api/v1/stories/6fb1a3d8-3eee-11ed-9529-0a58a9feac02,271,0,0
1664342972241,794,storyDetails,200,OK,Http URL/API Test 1-6,text,true,,2895,680,9,9,https://social.bigsuperapp.com/story?id=7e5a4f0c-3eee-11ed-9500-0a58a9feac02&u=1d6c72d6-1a33-11ed-b240-0a58a9feac02,794,0,0
1664342968658,4958,getStory,200,OK,Http URL/API Test 1-8,text,true,,2895,680,9,9,https://social.bigsuperapp.com/story?id=83ffcb1c-3eee-11ed-9f63-0a58a9feac02&u=2fe58e7a-1a33-11ed-9893-0a58a9feac02,4958,0,0
1664342972696,1454,login,200,OK,Http URL/API Test 1-10,text,true,,754,656,10,10,https://accounts.bigsuperapp.com/accounts/api/v1/login,1454,0,0
1664342972429,1722,findPlace,200,OK,Http URL/API Test 1-7,text,true,,252,634,10,10,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1722,0,0
1664342974607,302,List All the Explore Feed for the user v1,200,OK,Http URL/API Test 1-2,text,true,,496,660,10,10,https://social.bigsuperapp.com/social/api/v1/users/2395a362-1a33-11ed-bd97-0a58a9feac02/gallery,302,0,0
1664342975675,16,RegisterDevice,201,Created,Http URL/API Test 1-11,text,true,,524,483,10,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,16,0,11
1664342973931,1761,List all the Recent Stories for User V2,200,OK,Http URL/API Test 1-3,text,true,,275,624,10,10,https://social.bigsuperapp.com/social/api/v3/stories/recent,1761,0,0
1664342976151,307,createStory,200,OK,Http URL/API Test 1-10,text,true,,2942,3787,10,10,https://social.bigsuperapp.com/social/api/v1/stories,307,0,11
1664342970949,6085,createStory,200,OK,Http URL/API Test 1-9,text,true,,2942,3787,10,10,https://social.bigsuperapp.com/social/api/v1/stories,6085,0,12
1664342977692,251,List All the Explore Feed for the user v1,200,OK,Http URL/API Test 1-3,text,true,,262,660,10,10,https://social.bigsuperapp.com/social/api/v1/users/1c97e228-1a33-11ed-9550-0a58a9feac02/gallery,251,0,0
1664342977693,689,login,200,OK,Http URL/API Test 1-11,text,true,,754,656,10,10,https://accounts.bigsuperapp.com/accounts/api/v1/login,689,0,0
1664342972451,7006,Get Feed on Story V2,200,OK,Http URL/API Test 1-4,text,true,,275,668,11,11,https://social.bigsuperapp.com/social/api/v2/feed/stories?story_id=783f49f6-3eee-11ed-a819-0a58a9feac02,7006,0,0
1664342979035,457,getStory,200,OK,Http URL/API Test 1-9,text,true,,2895,680,11,11,https://social.bigsuperapp.com/story?id=87492098-3eee-11ed-9a93-0a58a9feac02&u=217b6f12-1a33-11ed-b716-0a58a9feac02,457,0,0
1664342980385,206,createStory,200,OK,Http URL/API Test 1-11,text,true,,2942,3787,11,11,https://social.bigsuperapp.com/social/api/v1/stories,206,0,10
1664342979944,733,List all the Explore feed for the user V2,200,OK,Http URL/API Test 1-3,text,true,,275,660,11,11,https://social.bigsuperapp.com/social/api/v2/users/1c97e228-1a33-11ed-9550-0a58a9feac02/gallery,733,0,0
1664342980676,18,RegisterDevice,201,Created,Http URL/API Test 1-12,text,true,,524,483,11,11,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,18,0,12
1664342974046,6852,AllStoriesByAUser,200,OK,Http URL/API Test 1-5,text,true,,3015,660,11,11,https://social.bigsuperapp.com/social/api/v1/users/217b98fc-1a33-11ed-a94a-0a58a9feac02/stories,6852,0,0
1664342975035,6021,AllStoriesByAUser,200,OK,Http URL/API Test 1-6,text,true,,3015,660,11,11,https://social.bigsuperapp.com/social/api/v1/users/1d6c72d6-1a33-11ed-b240-0a58a9feac02/stories,6021,0,0
1664342981457,296,List All the Recent Stories for the user V1,200,OK,Http URL/API Test 1-4,text,true,,275,624,11,11,https://social.bigsuperapp.com/social/api/v1/stories/recent,296,0,0
1664342976151,6526,userStories,200,OK,Http URL/API Test 1-7,text,true,,3015,660,11,11,https://social.bigsuperapp.com/social/api/v1/users/2e8e98be-1a33-11ed-9b21-0a58a9feac02/stories,6526,0,0
1664342975617,7502,story,200,OK,Http URL/API Test 1-8,text,true,,2895,680,11,11,https://social.bigsuperapp.com/story?id=83ffcb1c-3eee-11ed-9f63-0a58a9feac02&u=2fe58e7a-1a33-11ed-9893-0a58a9feac02,7502,0,0
1664342982898,533,Get Feed on Story V1,200,OK,Http URL/API Test 1-5,text,true,,275,668,11,11,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=7bc413d6-3eee-11ed-88df-0a58a9feac02,533,0,0
1664342981492,2144,story,200,OK,Http URL/API Test 1-9,text,true,,2895,680,11,11,https://social.bigsuperapp.com/story?id=87492098-3eee-11ed-9a93-0a58a9feac02&u=217b6f12-1a33-11ed-b716-0a58a9feac02,2144,0,0
1664342983754,519,List all the Recent Stories for User V2,200,OK,Http URL/API Test 1-4,text,true,,275,624,12,12,https://social.bigsuperapp.com/social/api/v3/stories/recent,518,0,0
1664342982696,1575,login,200,OK,Http URL/API Test 1-12,text,true,,754,656,12,12,https://accounts.bigsuperapp.com/accounts/api/v1/login,1575,0,0
1664342976909,7597,List all the Explore feed for the user V2,200,OK,Http URL/API Test 1-2,text,true,,509,660,12,12,https://social.bigsuperapp.com/social/api/v2/users/2395a362-1a33-11ed-bd97-0a58a9feac02/gallery,7596,0,0
1664342982678,1898,List all the flicks feed for a user V1,200,OK,Http URL/API Test 1-3,text,true,,16198,621,12,12,https://social.bigsuperapp.com/social/api/v1/feed/flicks,1898,0,0
1664342978461,7195,getStory,200,OK,Http URL/API Test 1-10,text,true,,2895,680,12,12,https://social.bigsuperapp.com/story?id=8a73854c-3eee-11ed-bd66-0a58a9feac02&u=1bfe818c-1a33-11ed-9d83-0a58a9feac02,7195,0,0
1664342985676,37,RegisterDevice,201,Created,Http URL/API Test 1-13,text,true,,524,483,12,12,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,37,0,10
1664342985431,495,Get Feed on Story V2,200,OK,Http URL/API Test 1-5,text,true,,275,668,12,12,https://social.bigsuperapp.com/social/api/v2/feed/stories?story_id=7bc413d6-3eee-11ed-88df-0a58a9feac02,495,0,0
1664342986274,680,createStory,200,OK,Http URL/API Test 1-12,text,true,,2942,3787,12,12,https://social.bigsuperapp.com/social/api/v1/stories,680,0,11
1664342986506,718,List all the flicks feed for a user V1,200,OK,Http URL/API Test 1-2,text,true,,16198,621,12,12,https://social.bigsuperapp.com/social/api/v1/feed/flicks,718,0,0
1664342983056,5031,Get Feed on Story V1,200,OK,Http URL/API Test 1-6,text,true,,275,668,12,12,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=7e5a4f0c-3eee-11ed-9500-0a58a9feac02,5031,0,0
1664342987714,926,login,200,OK,Http URL/API Test 1-13,text,true,,754,656,12,12,https://accounts.bigsuperapp.com/accounts/api/v1/login,926,0,0
1664342986577,2583,List all the Flicks feed for a user V2,200,OK,Http URL/API Test 1-3,text,true,,287,621,13,13,https://social.bigsuperapp.com/social/api/v2/feed/flicks,2583,0,0
