timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664277963889,340,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,1,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,340,0,323
1664277966340,618,Login  API l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,618,0,0
1664277966962,101,Connect Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,2,null,0,0,0
1664277967063,25,Log-In Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,2,null,0,0,0
1664277967089,592,Get Contacts List Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,6209,0,1,2,null,0,0,0
1664277967683,1,Set Presence Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,2,null,0,0,0
1664277968685,1,Send Message Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,2,null,0,0,0
1664277968766,37,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,2,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,37,0,28
1664277970817,719,Login  API l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,719,0,0
1664277971540,8,Connect Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,2,null,0,0,0
1664277971549,13,Log-In Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,2,null,0,0,0
1664277971563,248,Get Contacts List Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,1802,0,1,3,null,0,0,0
1664277971812,0,Set Presence Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,3,null,0,0,0
1664277972813,0,Send Message Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,3,null,0,0,0
1664277973720,36,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,3,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,35,0,24
1664277975763,712,Login  API l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,3,https://accounts.bigsuperapp.com/accounts/api/v1/login,712,0,0
1664277976477,5,Connect Sampler l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,3,null,0,0,0
1664277976483,9,Log-In Sampler l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,3,null,0,0,0
1664277976493,81,Get Contacts List Sampler l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,378,0,1,3,null,0,0,0
1664277976575,0,Set Presence Sampler l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,3,null,0,0,0
1664277977575,1,Send Message Sampler l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,4,null,0,0,0
1664277978739,27,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,4,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,27,0,19
1664277980776,721,Login  API l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,4,https://accounts.bigsuperapp.com/accounts/api/v1/login,721,0,0
1664277981500,8,Connect Sampler l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,4,null,0,0,0
1664277981508,9,Log-In Sampler l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,4,null,0,0,0
1664277981517,57,Get Contacts List Sampler l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,317,0,1,4,null,0,0,0
1664277981575,0,Set Presence Sampler l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,4,null,0,0,0
1664277982575,1,Send Message Sampler l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,5,null,0,0,0
1664277983687,8,Collect Packages Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,11159,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-0,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,156,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-1,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,36,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-2,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,8469,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-3,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,430,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-4,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,456,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-5,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,430,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-6,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,189,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-7,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,189,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-8,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,190,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-9,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,231,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-10,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,152,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555202-11,200,OK,org.apache.jmeter.threads.JMeterThread@5772c6d - bzm - Parallel Controller - Simple Controller,,true,,231,0,1,5,null,0,0,0
1664277983696,1,Disconnect Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,5,null,0,0,0
1664277983724,23,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,4,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,23,0,16
1664277985754,680,Login  API l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,4,https://accounts.bigsuperapp.com/accounts/api/v1/login,680,0,0
1664277986437,5,Connect Sampler l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,4,null,0,0,0
1664277986442,8,Log-In Sampler l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,4,null,0,0,0
1664277986450,52,Get Contacts List Sampler l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,343,0,1,4,null,0,0,0
1664277986503,0,Set Presence Sampler l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,4,null,0,0,0
1664277987503,1,Send Message Sampler l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,5,null,0,0,0
1664277987813,3,Collect Packages Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,5874,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555203-0,200,OK,org.apache.jmeter.threads.JMeterThread@3b114501 - bzm - Parallel Controller - Simple Controller,,true,,156,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555203-1,200,OK,org.apache.jmeter.threads.JMeterThread@3b114501 - bzm - Parallel Controller - Simple Controller,,true,,36,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555203-2,200,OK,org.apache.jmeter.threads.JMeterThread@3b114501 - bzm - Parallel Controller - Simple Controller,,true,,2949,0,1,5,null,0,0,0
0,0,Collect Packages Sampler l1o1adtrial555203-3,200,OK,org.apache.jmeter.threads.JMeterThread@3b114501 - bzm - Parallel Controller - Simple Controller,,true,,430,0,1,5,null,0,0,0
