timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662532715285,401,RegisterDevice,201,Created,Thread Group 1-1,text,true,,524,483,1,1,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,401,0,383
1662532717743,653,login,200,OK,Thread Group 1-1,text,true,,754,656,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,653,0,0
1662532720153,36,RegisterDevice,201,Created,Thread Group 1-2,text,true,,524,483,2,2,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,36,0,28
1662532720401,205,createStory,200,OK,Thread Group 1-1,text,true,,3203,3787,2,2,https://social.bigsuperapp.com/social/api/v1/stories,205,0,24
1662532722200,981,login,200,OK,Thread Group 1-2,text,true,,754,656,3,3,https://accounts.bigsuperapp.com/accounts/api/v1/login,980,0,0
1662532722616,739,getStory,200,OK,Thread Group 1-1,text,true,,3640,680,3,3,https://social.bigsuperapp.com/story?id=b5e1dc10-2e77-11ed-93a4-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,739,0,0
1662532725117,29,RegisterDevice,201,Created,Thread Group 1-3,text,true,,524,483,3,3,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,29,0,18
1662532725186,181,createStory,200,OK,Thread Group 1-2,text,true,,3203,3787,3,3,https://social.bigsuperapp.com/social/api/v1/stories,181,0,18
1662532725356,409,story,200,OK,Thread Group 1-1,text,true,,3640,680,3,3,https://social.bigsuperapp.com/story?id=b5e1dc10-2e77-11ed-93a4-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,409,0,0
1662532727153,670,login,200,OK,Thread Group 1-3,text,true,,754,656,3,3,https://accounts.bigsuperapp.com/accounts/api/v1/login,670,0,0
1662532727375,710,getStory,200,OK,Thread Group 1-2,text,true,,3640,680,3,3,https://social.bigsuperapp.com/story?id=b8b8ee42-2e77-11ed-800f-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,710,0,0
1662532727766,1088,findPlace,200,OK,Thread Group 1-1,text,true,,252,634,4,4,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1088,0,0
1662532729826,189,createStory,200,OK,Thread Group 1-3,text,true,,3203,3787,4,4,https://social.bigsuperapp.com/social/api/v1/stories,189,0,16
1662532730101,38,RegisterDevice,201,Created,Thread Group 1-4,text,true,,524,483,4,4,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,38,0,18
1662532730086,432,story,200,OK,Thread Group 1-2,text,true,,3640,680,4,4,https://social.bigsuperapp.com/story?id=b8b8ee42-2e77-11ed-800f-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,432,0,0
1662532732018,590,getStory,200,OK,Thread Group 1-3,text,true,,3640,680,4,4,https://social.bigsuperapp.com/story?id=bb7c9c96-2e77-11ed-8630-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,590,0,0
1662532732141,789,login,200,OK,Thread Group 1-4,text,true,,754,656,4,4,https://accounts.bigsuperapp.com/accounts/api/v1/login,789,0,0
1662532730855,2138,userStories,200,OK,Thread Group 1-1,text,true,,7236,699,4,4,https://social.bigsuperapp.com/social/api/v1/users/2395a362-1a33-11ed-bd97-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,2138,0,0
1662532732519,1822,findPlace,200,OK,Thread Group 1-2,text,true,,252,634,5,5,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1822,0,0
1662532735076,33,RegisterDevice,201,Created,Thread Group 1-5,text,true,,524,483,5,5,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,33,0,18
1662532734933,386,createStory,200,OK,Thread Group 1-4,text,true,,3203,3787,5,5,https://social.bigsuperapp.com/social/api/v1/stories,386,0,19
1662532734994,537,storyDetails,200,OK,Thread Group 1-1,text,true,,3640,680,5,5,https://social.bigsuperapp.com/story?id=b5e1dc10-2e77-11ed-93a4-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,537,0,0
1662532734608,947,story,200,OK,Thread Group 1-3,text,true,,3640,680,5,5,https://social.bigsuperapp.com/story?id=bb7c9c96-2e77-11ed-8630-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,947,0,0
1662532737111,857,login,200,OK,Thread Group 1-5,text,true,,754,656,5,5,https://accounts.bigsuperapp.com/accounts/api/v1/login,857,0,0
1662532737323,850,getStory,200,OK,Thread Group 1-4,text,true,,3640,680,6,6,https://social.bigsuperapp.com/story?id=bea1dcba-2e77-11ed-ab19-0a58a9feac02&u=217b98fc-1a33-11ed-a94a-0a58a9feac02,850,0,0
1662532740079,71,RegisterDevice,201,Created,Thread Group 1-6,text,true,,524,483,6,6,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,71,0,18
1662532737532,2779,AllStoriesByAUser,200,OK,Thread Group 1-1,text,true,,252,699,6,6,https://social.bigsuperapp.com/social/api/v1/users/04c3fb5c-1f9f-11ed-9c5c-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,2779,0,0
1662532740174,494,story,200,OK,Thread Group 1-4,text,true,,3640,680,6,6,https://social.bigsuperapp.com/story?id=bea1dcba-2e77-11ed-ab19-0a58a9feac02&u=217b98fc-1a33-11ed-a94a-0a58a9feac02,494,0,0
1662532736342,5198,userStories,200,OK,Thread Group 1-2,text,true,,3745,699,6,6,https://social.bigsuperapp.com/social/api/v1/users/1c97e228-1a33-11ed-9550-0a58a9feac02/stories?u=1c97e228-1a33-11ed-9550-0a58a9feac02,5198,0,0
1662532737556,4560,findPlace,200,OK,Thread Group 1-3,text,true,,252,634,6,6,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,4560,0,0
1662532742154,1075,login,200,OK,Thread Group 1-6,text,true,,754,656,7,7,https://accounts.bigsuperapp.com/accounts/api/v1/login,1075,0,0
1662532743541,393,storyDetails,200,OK,Thread Group 1-2,text,true,,3640,680,7,7,https://social.bigsuperapp.com/story?id=b8b8ee42-2e77-11ed-800f-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,393,0,0
1662532744117,301,userStories,200,OK,Thread Group 1-3,text,true,,3745,699,7,7,https://social.bigsuperapp.com/social/api/v1/users/30351b48-1a33-11ed-822d-0a58a9feac02/stories?u=30351b48-1a33-11ed-822d-0a58a9feac02,301,0,0
1662532742669,1889,findPlace,200,OK,Thread Group 1-4,text,true,,252,634,7,7,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1889,0,0
1662532745077,24,RegisterDevice,201,Created,Thread Group 1-7,text,true,,524,483,7,7,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,23,0,16
1662532742312,4298,StoryViews,200,OK,Thread Group 1-1,text,true,,271,749,7,7,https://social.bigsuperapp.com/social/api/v1/users/stories/b5e1dc10-2e77-11ed-93a4-0a58a9feac02/views,4298,0,0
1662532746558,354,userStories,200,OK,Thread Group 1-4,text,true,,3745,699,7,7,https://social.bigsuperapp.com/social/api/v1/users/217b98fc-1a33-11ed-a94a-0a58a9feac02/stories?u=217b98fc-1a33-11ed-a94a-0a58a9feac02,353,0,0
1662532746419,596,storyDetails,200,OK,Thread Group 1-3,text,true,,3640,680,7,7,https://social.bigsuperapp.com/story?id=bb7c9c96-2e77-11ed-8630-0a58a9feac02&u=30351b48-1a33-11ed-822d-0a58a9feac02,596,0,0
1662532739970,7451,createStory,200,OK,Thread Group 1-5,text,true,,3203,3787,7,7,https://social.bigsuperapp.com/social/api/v1/stories,7451,0,21
1662532747104,543,login,200,OK,Thread Group 1-7,text,true,,754,656,7,7,https://accounts.bigsuperapp.com/accounts/api/v1/login,543,0,0
1662532749649,196,createStory,200,OK,Thread Group 1-7,text,true,,3203,3787,8,8,https://social.bigsuperapp.com/social/api/v1/stories,195,0,16
1662532750078,29,RegisterDevice,201,Created,Thread Group 1-8,text,true,,524,483,8,8,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,29,0,19
1662532749424,929,getStory,200,OK,Thread Group 1-5,text,true,,3640,680,8,8,https://social.bigsuperapp.com/story?id=c18f65fa-2e77-11ed-904d-0a58a9feac02&u=1d6c72d6-1a33-11ed-b240-0a58a9feac02,929,0,0
1662532752110,828,login,200,OK,Thread Group 1-8,text,true,,754,656,8,8,https://accounts.bigsuperapp.com/accounts/api/v1/login,828,0,0
1662532748611,6128,Get Feed on Story V1,200,OK,Thread Group 1-1,text,true,,275,668,9,9,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=b5e1dc10-2e77-11ed-93a4-0a58a9feac02,6128,0,0
1662532755081,19,RegisterDevice,201,Created,Thread Group 1-9,text,true,,524,483,9,9,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,19,0,13
1662532754940,195,createStory,200,OK,Thread Group 1-8,text,true,,3203,3787,9,9,https://social.bigsuperapp.com/social/api/v1/stories,195,0,19
1662532745935,11026,AllStoriesByAUser,200,OK,Thread Group 1-2,text,true,,252,699,9,9,https://social.bigsuperapp.com/social/api/v1/users/04c3fb5c-1f9f-11ed-9c5c-0a58a9feac02/stories?u=1c97e228-1a33-11ed-9550-0a58a9feac02,11025,0,0
1662532745232,12442,createStory,200,OK,Thread Group 1-6,text,true,,3203,3787,9,9,https://social.bigsuperapp.com/social/api/v1/stories,12442,0,13
1662532757101,773,login,200,OK,Thread Group 1-9,text,true,,754,656,9,9,https://accounts.bigsuperapp.com/accounts/api/v1/login,773,0,0
