timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662446615219,698,Register Device,201,Created,Thread Group 1-1,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,694,0,657
1662446615991,603,CreateAccount,201,Created,Thread Group 1-1,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,603,0,0
1662446616595,241,Get Requested OTP1,200,OK,Thread Group 1-1,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,241,0,0
1662446616839,31,VerifyOTP,201,Created,Thread Group 1-1,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,31,0,0
1662446616871,12,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-1,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446616885,32,Get Requested OTP2,200,OK,Thread Group 1-1,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,32,0,25
1662446616925,234,ResetOTP,200,OK,Thread Group 1-1,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,234,0,0
1662446620006,24,Register Device,201,Created,Thread Group 1-2,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,24,0,17
1662446620033,408,CreateAccount,201,Created,Thread Group 1-2,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,408,0,0
1662446620442,260,Get Requested OTP1,200,OK,Thread Group 1-2,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,260,0,0
1662446620704,12,VerifyOTP,201,Created,Thread Group 1-2,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,12,0,0
1662446620717,3,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-2,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446620721,26,Get Requested OTP2,200,OK,Thread Group 1-2,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,26,0,18
1662446620754,245,ResetOTP,200,OK,Thread Group 1-2,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,245,0,0
1662446625003,27,Register Device,201,Created,Thread Group 1-3,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,27,0,16
1662446625036,457,CreateAccount,201,Created,Thread Group 1-3,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,457,0,0
1662446625494,241,Get Requested OTP1,200,OK,Thread Group 1-3,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,241,0,0
1662446625737,12,VerifyOTP,201,Created,Thread Group 1-3,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,12,0,0
1662446625749,3,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-3,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446625753,20,Get Requested OTP2,200,OK,Thread Group 1-3,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,20,0,13
1662446625774,255,ResetOTP,200,OK,Thread Group 1-3,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,255,0,0
1662446630000,25,Register Device,201,Created,Thread Group 1-4,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,25,0,16
1662446630028,400,CreateAccount,201,Created,Thread Group 1-4,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,400,0,0
1662446630428,245,Get Requested OTP1,200,OK,Thread Group 1-4,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,245,0,0
1662446630674,11,VerifyOTP,201,Created,Thread Group 1-4,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,11,0,0
1662446630685,5,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-4,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446630691,21,Get Requested OTP2,200,OK,Thread Group 1-4,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,21,0,17
1662446630713,240,ResetOTP,200,OK,Thread Group 1-4,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,240,0,0
1662446635010,22,Register Device,201,Created,Thread Group 1-5,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,22,0,15
1662446635034,421,CreateAccount,201,Created,Thread Group 1-5,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,421,0,0
1662446635456,247,Get Requested OTP1,200,OK,Thread Group 1-5,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,247,0,0
1662446635708,11,VerifyOTP,201,Created,Thread Group 1-5,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,11,0,0
1662446635720,4,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-5,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446635728,23,Get Requested OTP2,200,OK,Thread Group 1-5,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,23,0,17
1662446635755,253,ResetOTP,200,OK,Thread Group 1-5,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,253,0,0
1662446640006,23,Register Device,201,Created,Thread Group 1-6,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,23,0,15
1662446640034,462,CreateAccount,201,Created,Thread Group 1-6,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,461,0,0
1662446640495,242,Get Requested OTP1,200,OK,Thread Group 1-6,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,242,0,0
1662446640739,15,VerifyOTP,201,Created,Thread Group 1-6,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,15,0,0
1662446640755,2,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-6,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446640760,24,Get Requested OTP2,200,OK,Thread Group 1-6,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,24,0,17
1662446640788,263,ResetOTP,200,OK,Thread Group 1-6,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,263,0,0
1662446644995,18,Register Device,201,Created,Thread Group 1-7,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,18,0,12
1662446645014,462,CreateAccount,201,Created,Thread Group 1-7,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,462,0,0
1662446645477,250,Get Requested OTP1,200,OK,Thread Group 1-7,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,250,0,0
1662446645728,12,VerifyOTP,201,Created,Thread Group 1-7,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,12,0,0
1662446645740,2,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-7,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446645743,20,Get Requested OTP2,200,OK,Thread Group 1-7,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,20,0,15
1662446645765,235,ResetOTP,200,OK,Thread Group 1-7,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,235,0,0
1662446650003,20,Register Device,201,Created,Thread Group 1-8,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,20,0,12
1662446650024,436,CreateAccount,201,Created,Thread Group 1-8,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,436,0,0
1662446650461,233,Get Requested OTP1,200,OK,Thread Group 1-8,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,233,0,0
1662446650696,10,VerifyOTP,201,Created,Thread Group 1-8,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,10,0,0
1662446650707,1,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-8,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446650710,21,Get Requested OTP2,200,OK,Thread Group 1-8,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,21,0,16
1662446650732,334,ResetOTP,200,OK,Thread Group 1-8,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,334,0,0
1662446655011,16,Register Device,201,Created,Thread Group 1-9,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,16,0,10
1662446655028,438,CreateAccount,201,Created,Thread Group 1-9,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,438,0,0
1662446655468,271,Get Requested OTP1,200,OK,Thread Group 1-9,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,271,0,0
1662446655740,11,VerifyOTP,201,Created,Thread Group 1-9,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,11,0,0
1662446655751,2,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-9,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446655754,25,Get Requested OTP2,200,OK,Thread Group 1-9,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,25,0,19
1662446655781,257,ResetOTP,200,OK,Thread Group 1-9,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,257,0,0
1662446660006,18,Register Device,201,Created,Thread Group 1-10,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,18,0,12
1662446660025,417,CreateAccount,201,Created,Thread Group 1-10,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,417,0,0
1662446660442,232,Get Requested OTP1,200,OK,Thread Group 1-10,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,232,0,0
1662446660676,10,VerifyOTP,201,Created,Thread Group 1-10,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,10,0,0
1662446660687,1,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-10,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446660689,18,Get Requested OTP2,200,OK,Thread Group 1-10,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,18,0,11
1662446660708,332,ResetOTP,200,OK,Thread Group 1-10,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,332,0,0
1662446664997,16,Register Device,201,Created,Thread Group 1-11,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,16,0,11
1662446665023,508,CreateAccount,201,Created,Thread Group 1-11,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,508,0,0
1662446665531,260,Get Requested OTP1,200,OK,Thread Group 1-11,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,260,0,0
1662446665792,12,VerifyOTP,201,Created,Thread Group 1-11,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,12,0,0
1662446665804,2,Init V2,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: /home/ubuntu/LoadTesting/accountflow/C:\b2b\logo.png (No such file or directory),Thread Group 1-11,text,false,Test failed: code expected to contain /201/,2555,0,1,1,https://accounts.bigsuperapp.com/accounts/api/v2/accounts/init,0,0,0
1662446665806,19,Get Requested OTP2,200,OK,Thread Group 1-11,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,19,0,13
1662446665827,249,ResetOTP,200,OK,Thread Group 1-11,text,true,,263,529,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,249,0,0
1662446669981,18,Register Device,201,Created,Thread Group 1-12,text,true,,524,525,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,18,0,12
1662446670002,550,CreateAccount,201,Created,Thread Group 1-12,text,true,,277,664,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/register,550,0,0
1662446670551,244,Get Requested OTP1,200,OK,Thread Group 1-12,text,true,,263,523,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/otp,244,0,0
1662446670796,11,VerifyOTP,201,Created,Thread Group 1-12,text,true,,277,608,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/verify,11,0,0
