timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660128900146,426,RegisterDevice,201,Created,Thread Group 1-1,text,true,,1027,483,3,3,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,424,0,377
1660128905041,72,RegisterDevice,201,Created,Thread Group 1-2,text,true,,1021,483,4,4,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,72,0,27
1660128907623,222,CreateAccount,201,Created,Thread Group 1-1,text,true,,774,664,5,5,https://accounts.bigsuperapp.com/accounts/api/v1/register,222,0,0
1660128910028,50,RegisterDevice,201,Created,Thread Group 1-3,text,true,,1029,483,5,5,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,50,0,23
1660128912117,193,CreateAccount,201,Created,Thread Group 1-2,text,true,,782,664,6,6,https://accounts.bigsuperapp.com/accounts/api/v1/register,193,0,0
1660128915015,63,RegisterDevice,201,Created,Thread Group 1-4,text,true,,1019,483,6,6,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,63,0,23
1660128917099,174,CreateAccount,201,Created,Thread Group 1-3,text,true,,776,664,7,7,https://accounts.bigsuperapp.com/accounts/api/v1/register,174,0,0
1660128920011,53,RegisterDevice,201,Created,Thread Group 1-5,text,true,,1021,483,7,7,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,53,0,17
1660128921847,40,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-1,text,true,,758,523,8,8,https://accounts.bigsuperapp.com/accounts/api/v1/otp,40,0,0
1660128922082,215,CreateAccount,422,Unprocessable Entity,Thread Group 1-4,text,false,Test failed: code expected to contain /201/,830,664,8,8,https://accounts.bigsuperapp.com/accounts/api/v1/register,215,0,0
1660128925009,47,RegisterDevice,201,Created,Thread Group 1-6,text,true,,1027,483,8,8,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,47,0,17
1660128926311,25,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-2,text,true,,764,523,9,9,https://accounts.bigsuperapp.com/accounts/api/v1/otp,25,0,0
1660128927065,529,CreateAccount,201,Created,Thread Group 1-5,text,true,,778,664,9,9,https://accounts.bigsuperapp.com/accounts/api/v1/register,529,0,0
1660128928889,115,VerifyOTP,201,Created,Thread Group 1-1,text,true,,782,608,9,9,https://accounts.bigsuperapp.com/accounts/api/v1/verify,115,0,0
1660128930017,96,RegisterDevice,201,Created,Thread Group 1-7,text,true,,1033,483,9,9,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,96,0,26
1660128932059,337,CreateAccount,201,Created,Thread Group 1-6,text,true,,774,664,10,10,https://accounts.bigsuperapp.com/accounts/api/v1/register,337,0,0
1660128931273,2436,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-3,text,true,,772,523,10,10,https://accounts.bigsuperapp.com/accounts/api/v1/otp,2436,0,0
1660128935016,785,RegisterDevice,201,Created,Thread Group 1-8,text,true,,1023,483,10,10,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,785,0,28
1660128936007,30,Initv1,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: C:\Users\b2bte\Downloads\1.png (No such file or directory),Thread Group 1-1,text,false,Test failed: code expected to contain /201/,1372,0,11,11,https://accounts.bigsuperapp.com/accounts/api/v1/accounts/init,0,0,0
1660128933339,3967,VerifyOTP,201,Created,Thread Group 1-2,text,true,,786,608,11,11,https://accounts.bigsuperapp.com/accounts/api/v1/verify,3967,0,0
1660128937121,375,CreateAccount,201,Created,Thread Group 1-7,text,true,,774,664,11,11,https://accounts.bigsuperapp.com/accounts/api/v1/register,375,0,0
1660128936298,3795,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-4,text,true,,764,523,11,11,https://accounts.bigsuperapp.com/accounts/api/v1/otp,3795,0,0
1660128940712,86,VerifyOTP,201,Created,Thread Group 1-3,text,true,,778,608,11,11,https://accounts.bigsuperapp.com/accounts/api/v1/verify,86,0,0
1660128941595,100,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-5,text,true,,760,523,12,12,https://accounts.bigsuperapp.com/accounts/api/v1/otp,100,0,0
1660128940013,2088,RegisterDevice,201,Created,Thread Group 1-9,text,true,,1027,483,12,12,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,2087,0,17
1660128944307,15,Initv1,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: C:\Users\b2bte\Downloads\1.png (No such file or directory),Thread Group 1-2,text,false,Test failed: code expected to contain /201/,1372,0,12,12,https://accounts.bigsuperapp.com/accounts/api/v1/accounts/init,0,0,0
1660128942803,2004,CreateAccount,201,Created,Thread Group 1-8,text,true,,778,664,12,12,https://accounts.bigsuperapp.com/accounts/api/v1/register,2004,0,0
1660128945014,84,RegisterDevice,201,Created,Thread Group 1-10,text,true,,1019,483,12,12,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,84,0,16
1660128943041,2970,GetRequestedOTP,403,Forbidden,Thread Group 1-1,text,false,Test failed: code expected to contain /200/,816,268,12,12,https://accounts.bigsuperapp.com/accounts/api/v1/otp,2970,0,0
1660128946397,100,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-6,text,true,,764,523,13,13,https://accounts.bigsuperapp.com/accounts/api/v1/otp,100,0,0
1660128947798,11,Initv1,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: C:\Users\b2bte\Downloads\1.png (No such file or directory),Thread Group 1-3,text,false,Test failed: code expected to contain /201/,1372,0,13,13,https://accounts.bigsuperapp.com/accounts/api/v1/accounts/init,0,0,0
1660128948697,926,VerifyOTP,201,Created,Thread Group 1-5,text,true,,782,608,13,13,https://accounts.bigsuperapp.com/accounts/api/v1/verify,926,0,0
1660128949102,526,CreateAccount,201,Created,Thread Group 1-9,text,true,,786,664,13,13,https://accounts.bigsuperapp.com/accounts/api/v1/register,526,0,0
1660128947095,3723,VerifyOTP,422,Unprocessable Entity,Thread Group 1-4,text,false,Test failed: code expected to contain /201/,816,604,13,13,https://accounts.bigsuperapp.com/accounts/api/v1/verify,3723,0,0
1660128951327,69,GetRequestedOTP,403,Forbidden,Thread Group 1-2,text,false,Test failed: code expected to contain /200/,810,268,14,14,https://accounts.bigsuperapp.com/accounts/api/v1/otp,69,0,0
1660128951498,105,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-7,text,true,,762,523,14,14,https://accounts.bigsuperapp.com/accounts/api/v1/otp,104,0,0
1660128952101,397,CreateAccount,201,Created,Thread Group 1-10,text,true,,778,664,14,14,https://accounts.bigsuperapp.com/accounts/api/v1/register,397,0,0
1660128954813,88,GetRequestedOTP,403,Forbidden,Thread Group 1-3,text,false,Test failed: code expected to contain /200/,814,268,14,14,https://accounts.bigsuperapp.com/accounts/api/v1/otp,88,0,0
1660128955016,86,RegisterDevice,201,Created,Thread Group 1-12,text,true,,1033,483,14,14,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,86,0,13
1660128950015,5391,RegisterDevice,201,Created,Thread Group 1-11,text,true,,1029,483,14,14,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,5391,0,16
1660128956625,12,Initv1,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: C:\Users\b2bte\Downloads\1.png (No such file or directory),Thread Group 1-5,text,false,Test failed: code expected to contain /201/,1372,0,15,15,https://accounts.bigsuperapp.com/accounts/api/v1/accounts/init,0,0,0
1660128953500,4310,VerifyOTP,201,Created,Thread Group 1-6,text,true,,780,608,15,15,https://accounts.bigsuperapp.com/accounts/api/v1/verify,4310,0,0
1660128957820,11,Initv1,Non HTTP response code: java.io.FileNotFoundException,Non HTTP response message: C:\Users\b2bte\Downloads\1.png (No such file or directory),Thread Group 1-4,text,false,Test failed: code expected to contain /201/,1372,0,15,15,https://accounts.bigsuperapp.com/accounts/api/v1/accounts/init,0,0,0
1660128953014,5586,ResetOTP,403,Forbidden,Thread Group 1-1,text,false,Test failed: code expected to contain /200/,810,274,15,15,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,5586,0,0
1660128958604,111,VerifyOTP,201,Created,Thread Group 1-7,text,true,,782,608,15,15,https://accounts.bigsuperapp.com/accounts/api/v1/verify,111,0,0
1660128958809,89,CreatedAccount-GetRequestedOTP,200,OK,Thread Group 1-8,text,true,,764,523,15,15,https://accounts.bigsuperapp.com/accounts/api/v1/otp,89,0,0
1660128958398,1517,ResetOTP,403,Forbidden,Thread Group 1-2,text,false,Test failed: code expected to contain /200/,816,274,15,15,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,1517,0,0
1660128962105,491,CreateAccount,201,Created,Thread Group 1-12,text,true,,778,664,16,16,https://accounts.bigsuperapp.com/accounts/api/v1/register,491,0,0
1660128962408,387,CreateAccount,201,Created,Thread Group 1-11,text,true,,786,664,16,16,https://accounts.bigsuperapp.com/accounts/api/v1/register,387,0,0
1660128960020,4284,RegisterDevice,201,Created,Thread Group 1-13,text,true,,1025,483,16,16,https://accounts.bigsuperapp.com/accounts/api/v1/accounts,4284,0,37
1660128961902,2697,ResetOTP,403,Forbidden,Thread Group 1-3,text,false,Test failed: code expected to contain /200/,806,274,16,16,https://accounts.bigsuperapp.com/accounts/api/v1/reset_otp,2697,0,0
