timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661426981207,838,RegisterDevice,201,Created,Http URL/API Test 1-1,text,true,,524,483,1,1,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,838,0,823
1661426982261,582,login,200,OK,Http URL/API Test 1-1,text,true,,754,656,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/login,582,0,0
1661426982948,361,createStory,200,OK,Http URL/API Test 1-1,text,true,,3203,3787,1,1,https://social.bigsuperapp.com/social/api/v1/stories,361,0,32
1661426986017,37,RegisterDevice,201,Created,Http URL/API Test 1-2,text,true,,524,483,2,2,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,37,0,20
1661426985319,833,getStory,200,OK,Http URL/API Test 1-1,text,true,,3640,680,2,2,https://social.bigsuperapp.com/story?id=37133b4e-2469-11ed-802c-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,833,0,0
1661426986161,792,login,200,OK,Http URL/API Test 1-2,text,true,,754,656,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,792,0,0
1661426986253,893,story,200,OK,Http URL/API Test 1-1,text,true,,3640,680,2,2,https://social.bigsuperapp.com/story?id=37133b4e-2469-11ed-802c-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,893,0,0
1661426987059,397,createStory,200,OK,Http URL/API Test 1-2,text,true,,3203,3787,2,2,https://social.bigsuperapp.com/social/api/v1/stories,397,0,20
1661426987247,1848,findPlace,200,OK,Http URL/API Test 1-1,text,true,,252,634,2,2,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1848,0,0
1661426989195,219,userStories,200,OK,Http URL/API Test 1-1,text,true,,252,699,2,2,https://social.bigsuperapp.com/social/api/v1/users/56c75e36-1a0d-11ed-890f-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,219,0,0
1661426989464,857,getStory,200,OK,Http URL/API Test 1-2,text,true,,3640,680,2,2,https://social.bigsuperapp.com/story?id=398655c8-2469-11ed-b56a-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,857,0,0
1661426989515,896,storyDetails,200,OK,Http URL/API Test 1-1,text,true,,3640,680,2,2,https://social.bigsuperapp.com/story?id=37133b4e-2469-11ed-802c-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,896,0,0
1661426990976,29,RegisterDevice,201,Created,Http URL/API Test 1-3,text,true,,524,483,3,3,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,29,0,18
1661426990422,1352,story,200,OK,Http URL/API Test 1-2,text,true,,3640,680,3,3,https://social.bigsuperapp.com/story?id=398655c8-2469-11ed-b56a-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,1352,0,0
1661426991111,778,login,200,OK,Http URL/API Test 1-3,text,true,,754,656,3,3,https://accounts.bigsuperapp.com/accounts/api/v1/login,778,0,0
1661426990511,1552,AllStoriesByAUser,200,OK,Http URL/API Test 1-1,text,true,,252,699,3,3,https://social.bigsuperapp.com/social/api/v1/users/04c3fb5c-1f9f-11ed-9c5c-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,1552,0,0
1661426991993,305,createStory,200,OK,Http URL/API Test 1-3,text,true,,3203,3787,3,3,https://social.bigsuperapp.com/social/api/v1/stories,305,0,26
