timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661431170455,584,RegisterDevice,201,Created,Http URL/API Test 1-1,text,true,,524,483,1,1,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,584,0,553
1661431171267,602,login,200,OK,Http URL/API Test 1-1,text,true,,754,656,1,1,https://accounts.bigsuperapp.com/accounts/api/v1/login,602,0,0
1661431171976,233,createStory,200,OK,Http URL/API Test 1-1,text,true,,3203,3787,1,1,https://social.bigsuperapp.com/social/api/v1/stories,233,0,39
1661431174222,737,getStory,200,OK,Http URL/API Test 1-1,text,true,,3640,680,1,1,https://social.bigsuperapp.com/story?id=f7dff93a-2472-11ed-a405-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,737,0,0
1661431175247,43,RegisterDevice,201,Created,Http URL/API Test 1-2,text,true,,524,483,2,2,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,43,0,22
1661431175060,802,story,200,OK,Http URL/API Test 1-1,text,true,,3640,680,2,2,https://social.bigsuperapp.com/story?id=f7dff93a-2472-11ed-a405-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,802,0,0
1661431175396,862,login,200,OK,Http URL/API Test 1-2,text,true,,754,656,2,2,https://accounts.bigsuperapp.com/accounts/api/v1/login,862,0,0
1661431176362,692,createStory,200,OK,Http URL/API Test 1-2,text,true,,3203,3787,2,2,https://social.bigsuperapp.com/social/api/v1/stories,692,0,17
1661431175963,1684,findPlace,200,OK,Http URL/API Test 1-1,text,true,,252,634,2,2,https://social.bigsuperapp.com/social/api/v1/users/stories/find/india,1684,0,0
1661431177748,124,userStories,200,OK,Http URL/API Test 1-1,text,true,,252,699,2,2,https://social.bigsuperapp.com/social/api/v1/users/56c75e36-1a0d-11ed-890f-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,124,0,0
1661431177973,433,storyDetails,200,OK,Http URL/API Test 1-1,text,true,,3640,680,2,2,https://social.bigsuperapp.com/story?id=f7dff93a-2472-11ed-a405-0a58a9feac02&u=2395a362-1a33-11ed-bd97-0a58a9feac02,433,0,0
1661431178506,118,AllStoriesByAUser,200,OK,Http URL/API Test 1-1,text,true,,252,699,2,2,https://social.bigsuperapp.com/social/api/v1/users/04c3fb5c-1f9f-11ed-9c5c-0a58a9feac02/stories?u=2395a362-1a33-11ed-bd97-0a58a9feac02,118,0,0
1661431178725,583,Get Feed on Story V1,200,OK,Http URL/API Test 1-1,text,true,,275,668,2,2,https://social.bigsuperapp.com/social/api/v1/feed/stories?story_id=f7dff93a-2472-11ed-a405-0a58a9feac02,583,0,0
1661431179059,409,getStory,200,OK,Http URL/API Test 1-2,text,true,,3640,680,2,2,https://social.bigsuperapp.com/story?id=fa889e26-2472-11ed-a9ef-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,409,0,0
1661431179409,217,Get Feed on Story V2,200,OK,Http URL/API Test 1-1,text,true,,275,668,2,2,https://social.bigsuperapp.com/social/api/v2/feed/stories?story_id=f7dff93a-2472-11ed-a405-0a58a9feac02,217,0,0
1661431179569,613,story,200,OK,Http URL/API Test 1-2,text,true,,3640,680,3,3,https://social.bigsuperapp.com/story?id=fa889e26-2472-11ed-a9ef-0a58a9feac02&u=1c97e228-1a33-11ed-9550-0a58a9feac02,613,0,0
1661431180202,28,RegisterDevice,201,Created,Http URL/API Test 1-3,text,true,,524,483,3,3,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,28,0,16
1661431180332,697,login,200,OK,Http URL/API Test 1-3,text,true,,754,656,3,3,https://accounts.bigsuperapp.com/accounts/api/v1/login,697,0,0
