timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664361145266,263,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,263,0,225
1664361145099,426,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,426,0,401
1664361145051,474,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,474,0,443
1664361145051,473,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,473,0,448
1664361145361,163,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,163,0,136
1664361145167,357,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,357,0,328
1664361145480,2445,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,2445,0,42
1664361145560,2378,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,2378,0,27
1664361145750,2198,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,2198,0,19
1664361145659,2306,RegisterDevices API,201,Created,parallel bzm - Parallel Controller,text,true,,524,483,1,10,https://accounts.bigsuperapp.com//accounts/api/v1/accounts,2306,0,23
1664361147613,4290,Login  API l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,10,https://accounts.bigsuperapp.com/accounts/api/v1/login,4290,0,0
1664361147607,4328,Login  API l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,10,https://accounts.bigsuperapp.com/accounts/api/v1/login,4328,0,0
1664361147614,4326,Login  API l1o1adtrial555207,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,10,https://accounts.bigsuperapp.com/accounts/api/v1/login,4326,0,0
1664361147613,4329,Login  API l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,10,https://accounts.bigsuperapp.com/accounts/api/v1/login,4329,0,0
1664361147615,4329,Login  API l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,10,https://accounts.bigsuperapp.com/accounts/api/v1/login,4329,0,0
1664361151937,121,Connect Sampler l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,10,null,0,0,0
1664361151943,119,Connect Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,10,null,0,0,0
1664361151941,122,Connect Sampler l1o1adtrial555207,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,10,null,0,0,0
1664361151945,120,Connect Sampler l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,10,null,0,0,0
1664361151910,156,Connect Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,10,null,0,0,0
1664361152063,28,Log-In Sampler l1o1adtrial555207,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152059,34,Log-In Sampler l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152065,29,Log-In Sampler l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152063,34,Log-In Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152066,32,Log-In Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361147614,4485,Login  API l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,754,656,1,10,https://accounts.bigsuperapp.com/accounts/api/v1/login,4485,0,0
1664361152101,10,Connect Sampler l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,16,0,1,10,null,0,0,0
1664361152111,12,Log-In Sampler l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152092,81,Get Contacts List Sampler l1o1adtrial555207,200,OK,parallel bzm - Parallel Controller,text,true,,206,0,1,10,null,0,0,0
1664361152176,1,Set Presence Sampler l1o1adtrial555207,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152094,153,Get Contacts List Sampler l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,378,0,1,10,null,0,0,0
1664361152249,0,Set Presence Sampler l1o1adtrial555204,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152098,369,Get Contacts List Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,1802,0,1,10,null,0,0,0
1664361152469,0,Set Presence Sampler l1o1adtrial555203,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152093,432,Get Contacts List Sampler l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,343,0,1,10,null,0,0,0
1664361152527,0,Set Presence Sampler l1o1adtrial555206,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152098,930,Get Contacts List Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,6209,0,1,10,null,0,0,0
1664361153030,0,Set Presence Sampler l1o1adtrial555202,200,OK,parallel bzm - Parallel Controller,text,true,,0,0,1,10,null,0,0,0
1664361152124,975,Get Contacts List Sampler l1o1adtrial555205,200,OK,parallel bzm - Parallel Controller,text,true,,317,0,1,10,null,0,0,0
